"Date/Time","Lat","Lon"
"4/9/2014 18:38:00",40.8001,-73.9392
"4/9/2014 19:01:00",40.7652,-73.9639
"4/9/2014 19:41:00",40.7568,-73.9829
"4/9/2014 19:42:00",40.7613,-73.978
"4/9/2014 20:16:00",40.7797,-73.9521
"4/9/2014 20:20:00",40.7589,-73.9725
"4/9/2014 21:03:00",40.779,-73.9534
"4/9/2014 21:04:00",40.7379,-73.9878
"4/9/2014 21:09:00",40.763,-73.9802
"4/9/2014 21:40:00",40.7224,-74.0097
"4/9/2014 21:45:00",40.7515,-73.9766
"4/9/2014 22:36:00",40.7304,-73.999
"4/10/2014 5:41:00",40.743,-73.9553
"4/10/2014 6:45:00",40.7028,-73.9896
"4/10/2014 7:07:00",40.7299,-73.9918
"4/10/2014 7:18:00",40.7482,-73.9917
"4/10/2014 8:00:00",40.7273,-73.9919
"4/10/2014 8:15:00",40.745,-73.9949
"4/10/2014 9:04:00",40.7514,-73.994
"4/10/2014 9:28:00",40.7491,-74.0032
"4/10/2014 9:48:00",40.7772,-73.9614
"4/10/2014 11:13:00",40.7902,-73.967
"4/10/2014 11:19:00",40.7567,-73.9835
"4/10/2014 12:18:00",40.762,-73.9749
"4/10/2014 12:27:00",40.7536,-73.9887
"4/10/2014 12:38:00",40.7625,-73.9744
"4/10/2014 13:15:00",40.7425,-73.9748
"4/10/2014 13:34:00",40.9858,-74.0384
"4/10/2014 13:46:00",40.7342,-73.9884
"4/10/2014 15:26:00",40.7033,-73.9908
"4/10/2014 15:31:00",40.7533,-73.9697
"4/10/2014 16:07:00",40.775,-73.9807
"4/10/2014 16:38:00",40.7653,-73.9538
"4/10/2014 16:55:00",40.7593,-73.9817
"4/10/2014 16:57:00",40.7796,-73.9557
"4/10/2014 17:00:00",40.7429,-73.9867
"4/10/2014 17:08:00",40.7148,-74.0055
"4/10/2014 17:13:00",40.8171,-74.1454
"4/10/2014 17:22:00",40.7325,-73.9912
"4/10/2014 17:41:00",40.7584,-73.9852
"4/10/2014 18:24:00",40.7699,-73.8644
"4/10/2014 19:01:00",40.7075,-73.9294
"4/10/2014 19:23:00",40.7653,-73.9695
"4/10/2014 20:06:00",40.7598,-73.9737
"4/10/2014 20:07:00",40.763,-73.966
